영화명,감독,배급사,개봉일,국적,전국 매출액,장르,등급,배우
명량,김한민,씨제이이앤엠(주),2014/07/30,한국,"135,748,398,910",사극,15세이상관람가,최민식
극한직업,이병헌,씨제이이앤엠(주),2019/01/23,한국,"139,647,579,516",코미디,15세이상관람가,류승룡
신과함께-죄와 벌,김용화,롯데쇼핑㈜롯데엔터테인먼트,2017/12/20,한국,"115,698,654,137",판타지,12세이상관람가,하정우
국제시장,윤제균,씨제이이앤엠(주),2014/12/17,한국,"110,828,014,630",드라마,12세이상관람가,황정민
베테랑,류승완,씨제이이앤엠(주),2015/08/05,한국,"105,024,756,250",액션,15세이상관람가,황정민
도둑들,최동훈,(주)쇼박스,2012/07/25,한국,"93,665,568,500",액션,15세이상관람가,김윤석
7번방의 선물,이환경,(주)넥스트엔터테인먼트월드(NEW),2013/01/23,한국,"91,431,914,670",코미디,15세이상관람가,류승룡
암살,최동훈,(주)쇼박스,2015/07/22,한국,"98,463,132,781",액션,15세이상관람가,전지현
"광해, 왕이 된 남자",추창민,씨제이이앤엠(주),2012/09/13,한국,"88,900,208,769",사극,15세이상관람가,0
신과함께-인과 연,김용화,롯데컬처웍스(주)롯데엔터테인먼트,2018/08/01,한국,"102,476,768,809",판타지,12세이상관람가,하정우
택시운전사,장훈,(주)쇼박스,2017/08/02,한국,"95,284,747,049",드라마,15세이상관람가,송강호
부산행,연상호,(주)넥스트엔터테인먼트월드(NEW),2016/07/20,한국,"93,175,877,048",액션,15세이상관람가,공유
해운대,윤제균,씨제이엔터테인먼트,2009/07/22,한국,"81,934,638,201",액션,12세이상관람가,설경구
변호인,양우석,(주)넥스트엔터테인먼트월드(NEW),2013/12/18,한국,"82,856,578,300",드라마,15세이상관람가,송강호
기생충,봉준호,씨제이이앤엠(주),2019/05/30,한국,"85,851,644,945",드라마,15세이상관람가,송강호
검사외전,이일형,(주)쇼박스,2016/02/03,한국,"77,252,755,264",범죄,15세이상관람가,황정민
관상,한재림,(주)쇼박스,2013/09/11,한국,"66,005,451,500",사극,15세이상관람가,송강호
설국열차,봉준호,씨제이이앤엠(주),2013/08/01,한국,"64,016,480,000",SF,15세이상관람가,크리스 에반스
엑시트,이상근,씨제이이앤엠(주),2019/07/31,한국,"73,969,161,302",코미디,12세이상관람가,조정석
수상한 그녀,황동혁,씨제이이앤엠(주),2014/01/22,한국,"62,696,639,249",드라마,15세이상관람가,심은경
해적: 바다로 간 산적,이석훈,롯데쇼핑㈜롯데엔터테인먼트,2014/08/06,한국,"66,240,631,706",어드벤처,12세이상관람가,김남길
국가대표,김용화,(주)쇼박스,2009/07/29,한국,"60,896,633,308",드라마,12세이상관람가,하정우
디워,심형래,(주)쇼박스,2007/08/01,한국,0,액션,12세이상관람가,제이슨 베어
과속스캔들,강형철,롯데쇼핑㈜롯데엔터테인먼트,2008/12/03,한국,"53,940,101,534",코미디,12세이상관람가,차태현
공조,김성훈,씨제이이앤엠(주),2017/01/18,한국,"63,781,731,326",액션,15세이상관람가,현빈
히말라야,이석훈,씨제이이앤엠(주),2015/12/16,한국,"60,173,583,015",드라마,12세이상관람가,황정민
밀정,김지운,워너브러더스 코리아(주),2016/09/07,한국,"61,158,644,831",액션,15세이상관람가,송강호
최종병기 활,김한민,롯데쇼핑㈜롯데엔터테인먼트,2011/08/10,한국,"55,808,856,500",사극,15세이상관람가,박해일
